code,qty
127 ,-5
139 ,68
1C2011,1
1C2213,6
2659362464449 ,15
2659362465125 ,9
2659362465132 ,8
2659362465149 ,3
2659362465347 ,3
2659362465736 ,3
2659367267656 ,0
2659367267779 ,2
2659367267786 ,2
2659367275019 ,6
2659367344210 ,0
2659367344722 ,6
2659367431545 ,1
2659367714136 ,4
2659367823319 ,2
2659367824361 ,1
2659367824392 ,2
2659367824446 ,2
2659367825085 ,56
4002064400259 ,-2
4002064400686 ,4
4002064400693 ,4
4002064400716 ,0
4002064400747 ,2
4002064401065 ,9
4002064401362 ,1
4002064401393 ,2
4002064401423 ,3
4002064401874 ,9
4002064401881 ,5
4002064402109 ,0
4002064406268 ,18
4002064406282 ,2
4002064406763 ,0
4002064406787 ,16
4002064407364 ,0
4002064407517 ,2
4002064408064 ,0
4002064408804 ,0
4002064409139 ,1
4002064409436 ,19
4002064412887 ,0
4002064412900 ,3
4002064412917 ,0
4002064412948 ,11
4002064412962 ,15
4002064412979 ,10
4002064413099 ,45
4002064413105 ,9
4002064413112 ,2
4002064413129 ,41
4002064413143 ,30
4002064413150 ,20
4002064413242 ,-9
4002064413259 ,9
4002064413266 ,19
4002064413273 ,17
4002064414157 ,7
4002064414164 ,13
4002064414171 ,10
4002064414508 ,0
4002064414515 ,3
4002064417080 ,0
4002064417127 ,0
4002064417233 ,3
4002064417240 ,-1
4002064417370 ,15
4002064417462 ,-2
4002064418421 ,-1
4002064418575 ,0
4002064418612 ,-18
4002064418629 ,0
4002064418643 ,3
4002064418650 ,1
4002064418667 ,4
4002064418674 ,9
4002064421025 ,8
4002064421032 ,4
4002064421124 ,-10
4002064421223 ,-2
4002064504742 ,6
4002064504759 ,6
4002064504841 ,12
4002064504858 ,11
4002064512266 ,-2
4002064512310 ,1
4002064513041 ,24
4002064514734 ,1
4002064514741 ,3
4002064514901 ,3
4002064605128 ,2
4002064616742 ,1
4002064617220 ,1
4002064618128 ,2
4008239120038 ,2
4008239120120 ,2
4008239121509 ,1
4008239140296 ,2
4008239140319 ,4
4008239155559 ,0
4008239160799 ,1
5012428040181 ,5
5023861118474 ,0
5023861118498 ,0
5023861118511 ,0
5023861118535 ,0
5023861119327 ,0
5023861119341 ,0
5023861119945 ,0
5023861119976 ,0
5037772000094 ,14
5400274750024 ,1
5400274750680 ,1
5400274753711 ,2
5400274984139 ,7
5400274984207 ,14
5400274984245 ,2
5400274984702 ,3
5400585050806 ,1
5400585093506 ,0
5415245438801 ,2
5436789817778 ,14
5705358883217 ,1
5906485672303 ,1
5906485672587 ,0
5906485672594 ,6
5906485672600 ,7
5909997008097 ,0
5909997019413 ,48
6287008500068 ,0
6287008500075 ,0
67714102000 ,9
67714102017 ,25
67714102024 ,17
67714102031 ,22
67714102048 ,18
67714102062 ,15
67714102703 ,8
67714102765 ,1
67714102819 ,6
67714102826 ,2
67714102833 ,8
67714102840 ,2
67714982046 ,0
67714982138 ,4
67714982152 ,0
67714982206 ,0
67714982350 ,0
67714982411 ,0
67714982442 ,0
67714982503 ,0
67714982534 ,10
67714982565 ,0
67714982633 ,4
67714982671 ,0
67714982732 ,1
67714982800 ,0
67714982848 ,11
6928050900066 ,5
6928050900068 ,8
6928050900069 ,9
6928050900070 ,1
6956131000119 ,4
6970664982964 ,5
73091020622 ,0
7531824361426 ,0
7611212462703 ,1
7611212462710 ,1
7611212462734 ,7
7611212462741 ,3
8005852753014 ,5
8005852753045 ,0
8005852753083 ,1
8009632040202 ,2
8015912502803 ,29
8015912502834 ,20
8015912503077 ,4
8015912503107 ,8
8015912503329 ,0
8015912503404 ,9
8015912503411 ,3
8015912504050 ,8
8015912504104 ,9
8015912504401 ,0
8015912504593 ,8
8015912505637 ,9
8015912505644 ,9
8015912505651 ,6
8015912505842 ,31
8015912505859 ,19
8015912505866 ,31
8015912505880 ,15
8015912506047 ,39
8015912506078 ,25
8015912506085 ,7
8015912506092 ,4
8015912506108 ,6
8015912506115 ,6
8015912506122 ,3
8015912506733 ,8
8015912506764 ,9
8015912507396 ,23
8015912507402 ,4
8015912507419 ,26
8015912507426 ,38
8015912507433 ,9
8015912507440 ,40
8015912509178 ,14
8015912509239 ,10
8022967049030 ,0
8022967049047 ,0
8023222050242 ,10
8023222060876 ,2
8023222140288 ,5
8023222162587 ,2
8023222162617 ,0
8023222168091 ,4
8023222203617 ,2
8031398000831 ,0
8031398128542 ,0
8414580000169 ,0
8414580000558 ,0
8414580000862 ,0
8414580002989 ,0
8414580004686 ,0
8414580004693 ,0
8414580008967 ,4
8711231109111 ,2
8711231135608 ,0
8711231136681 ,9
8711231170340 ,0
8711908114004 ,7
8711908133104 ,0
8711908233002 ,0
D5,7
D6,19
K01,54
K02,1
M002,209
M006,18
M011,426
M015,0
P518,6
P521,7
P521-A,61
P523,61
P705,12
P706,73
P707,2
P709,26
SWD0031,16
V001,289
V002,-88
V004,377
V009,105
V010,17
V013,74
V014,17
V015,237
V016,463
V018,99
V019,64
V020,167
V021,13
V022,2
V023,139
