code,qty
0 ,1
000006,5
000014,-1
000018,0
000022,1
000024,26
000025,31
000027,53
000028,40
000030,30
0000R2,0
0000R3,8
00035Y,0
0004,10
000A10,0
000A16,1
000A17,0
000A22,0
000P2,2
000V2,1
00440,24
00441,19
00600,5
00605,0
00660,4
00685A,17
007B,16
00931B,15
00A002,20
00A004,1
00A20,2
00A22,1
00A24,3
00A300,1
00A31,0
00A52,0
00A56,0
00B1,8
00HA104,2
00V4,6
067714102222,14
067714102239,8
067714102253,10
067714102284,16
067714102291,10
067714102307,17
067714102321,10
067714102338,19
067714102345,9
067714102383,3
067714102413,18
067714102420,14
067714102451,24
067714102468,13
067714102499,28
067714102505,15
067714102536,30
067714102543,15
067714102550,17
067714102567,10
067714102598,18
067714102604,17
067714102611,23
067714102628,18
067714102635,22
067714102703,66
067714102710,27
067714102727,3
067714102734,22
067714102741,3
067714102758,47
067714102765,12
067714102772,55
067714102789,13
067714102819,75
067714102826,21
067714102833,93
067714102840,21
071859475110,0
097612360608,9
097612361001,11
1000202 ,0
100107 ,30
100389 ,1
10102 ,13236
10103 ,571
10104 ,17
10105 ,1
10106 ,2
102 ,0
103 ,39
104 ,1
106 ,3
10838200787 ,2
10838200800 ,1
1130 ,20
1168630410602 ,7
1168630512092 ,45
1168630612242 ,45
1168638420078 ,0
1168638421907 ,13
1168638899591 ,6
1168638922909 ,1
1168638998690 ,12
1168638998799 ,7
1168920724051 ,2
1168920812093 ,1
1212 ,45
122 ,0
1220 ,89
125ML,0
131 ,20
133 ,4
150017 ,85
1530 ,16
17 ,0
1713282 ,1
1721612020123 ,8
1722612020120 ,23
1723612020127 ,16
17800175159 ,0
180ML,0
1825 ,38
1B1158,18
1B1173,10
1B2176,3
1C2011,13
1C2107,0
1C2206,2
1C2207,0
1C2208,0
1C2211,8
1C2213,0
1C2215,0
1C2217,0
1C2302,0
1C2303,1
2000900256291 ,0
2000900256369 ,0
2168630347600 ,6
2168630412056 ,1
2168638050281 ,3
2168638051271 ,1
2168638053008 ,1
2168638092717 ,12
23 ,4
23092001 ,41
250ML,0
2659362464418 ,10
2659362464425 ,23
2659362464432 ,60
2659362464449 ,112
2659362464517 ,43
2659362464524 ,36
2659362464531 ,1
2659362465019 ,41
2659362465026 ,14
2659362465118 ,92
2659362465125 ,72
2659362465132 ,58
2659362465149 ,130
2659362465316 ,125
2659362465323 ,86
2659362465330 ,36
2659362465347 ,40
2659362465712 ,143
2659362465729 ,63
2659362465736 ,101
2659362541379 ,9
2659362689873 ,13
2659364312816 ,0
2659364312823 ,18
2659367050487 ,1
2659367107068 ,5
2659367136013 ,42
2659367136044 ,4
2659367141116 ,10
2659367141123 ,3
2659367141130 ,6
2659367141147 ,108
2659367141413 ,52
2659367154130 ,6
2659367171878 ,0
2659367207065 ,2
2659367230711 ,62
2659367236041 ,57
2659367242196 ,27
2659367242516 ,14
2659367242592 ,19
2659367242653 ,32
2659367242844 ,2
2659367246545 ,35
2659367250474 ,2
2659367261937 ,14
2659367267526 ,2
2659367267564 ,1
2659367267588 ,4
2659367267595 ,1
2659367267632 ,1
2659367267670 ,8
2659367267724 ,0
2659367267731 ,2
2659367267762 ,2
2659367267779 ,18
2659367267786 ,17
2659367267793 ,1
2659367267809 ,1
2659367267816 ,12
2659367267823 ,2
2659367267830 ,26
2659367267847 ,41
2659367267854 ,5
2659367267861 ,1
2659367267878 ,6
2659367267885 ,19
2659367267892 ,4
2659367267908 ,0
2659367267922 ,25
2659367267939 ,0
2659367267946 ,19
2659367267977 ,15
2659367275019 ,6
2659367275026 ,7
2659367275521 ,0
2659367344210 ,86
2659367344227 ,107
2659367344234 ,189
2659367344241 ,69
2659367344715 ,86
2659367344722 ,38
2659367431545 ,21
2659367504911 ,0
2659367683722 ,18
2659367706087 ,10
2659367706742 ,0
2659367714136 ,27
2659367718813 ,18
2659367723138 ,265
2659367730563 ,6
2659367731515 ,7
2659367734189 ,1
2659367734448 ,0
2659367736077 ,10
2659367740333 ,2
2659367753845 ,21
2659367756198 ,41
2659367756846 ,1
2659367763042 ,6
2659367770866 ,1
2659367774635 ,52
2659367799744 ,42
2659367799751 ,18
2659367820677 ,0
2659367823319 ,7
2659367823357 ,10
2659367824279 ,2
2659367824361 ,80
2659367824378 ,2
2659367824385 ,9
2659367824392 ,4
2659367824422 ,13
2659367824446 ,8
2659367824453 ,10
2659367825085 ,4
2659367985055 ,0
2659367985062 ,1
2659367985079 ,0
26593679850799 ,0
2659367985093 ,0
2659367985475 ,0
2659367985482 ,0
2659367985864 ,1
2659367986359 ,0
2659367986366 ,3
2659367986380 ,4
2659367986397 ,4
2659367986434 ,0
2659367986441 ,0
2659367986540 ,7
2659367986830 ,0
2659367986847 ,1
2659367987929 ,1
2659367988414 ,3
2659367988469 ,4
2659367988896 ,0
2659367991520 ,42
2659367991810 ,1
2659367991827 ,11
2659367998963 ,24
2659367999403 ,26
300001 ,0
300014 ,0
300021 ,2
300023 ,1
300024 ,1
300028 ,8
300029 ,1
300033 ,2
300034 ,1
300039 ,0
300042 ,0
300045 ,2
300054 ,2
300061 ,2
300068 ,3
300069 ,3
3002 ,12
3003 ,9
30172024313 ,18
30172071508 ,7
30172080272 ,0
30172080289 ,1
30172240034 ,1
30172372018 ,7
30172830747 ,0
3168638063365 ,6
3182550702157 ,0
3182550702201 ,0
3182550702225 ,0
3182550702317 ,0
3182550702379 ,1
3182550702423 ,0
3182550702447 ,0
3182550702621 ,0
3182550704533 ,0
3182550707305 ,-1
3182550707312 ,0
3182550707329 ,0
3182550721738 ,0
3182550721745 ,0
3182550737807 ,0
3281014056734 ,3
3281014056741 ,1
3281014056758 ,5
3281014056765 ,3
3281014056772 ,2
3281014056796 ,2
3336020061316 ,6
3336021340557 ,10
3336021371506 ,0
3336021371513 ,0
3336021371520 ,0
3336021371537 ,0
3336021371544 ,0
3336021390705 ,1
3336021390729 ,0
3336021390750 ,0
3336021390781 ,0
3336022030242 ,0
3336022056228 ,1
3336022056235 ,0
3336022063691 ,1
3336022063714 ,6
3336022065442 ,2
3336022065459 ,2
3336022067248 ,7
3336022067255 ,3
3336022120172 ,0
3336022800173 ,5
3336022800180 ,2
3336022800197 ,9
3336022800203 ,10
3336023460192 ,2
3336023460260 ,4
3336023460314 ,0
3336023521138 ,0
3336023521312 ,2
3336024001561 ,1
3336024234204 ,0
3336024707012 ,0
3336024707104 ,0
3336024707111 ,0
3336024707203 ,2
3336024811238 ,0
3336024827000 ,2
3336024827116 ,0
3336024827208 ,9
3336024827253 ,2
3336024827376 ,1
3336025040651 ,0
3336025100102 ,6
3336025100119 ,6
3336025100126 ,6
3336025100256 ,6
3336025100263 ,6
3336025100270 ,6
3336025100409 ,6
3336025101703 ,6
3336025101819 ,6
3336025461319 ,6
3336025461418 ,6
3336026040902 ,0
3336026101818 ,6
3336026702602 ,6
3336026702619 ,6
3336026702756 ,6
3336026702763 ,6
3336026702770 ,6
3336027101701 ,6
3336027101817 ,6
3336028234460 ,2
3336029040602 ,0
3336029056221 ,0
3336029234483 ,0
3336029461414 ,6
3336029961310 ,6
3336029961358 ,6
3336029991317 ,6
3507614811109 ,0
3507614811116 ,0
3507614811208 ,0
350ML,0
35368002106 ,2
35368002151 ,4
35368002212 ,4
35368002540 ,1
35368003042 ,2
35368003097 ,4
35368003608 ,1
35368202155 ,1
35368202216 ,2
35368203091 ,2
35585447025 ,3
3661726000353 ,3
3661726000360 ,3
3661726000377 ,2
400001 ,18
400002 ,0
4000498024126 ,1
4000498025826 ,1
4002064201337 ,21
4002064201368 ,25
4002064201405 ,21
4002064201580 ,41
4002064205045 ,33
4002064205052 ,17
4002064205069 ,1
4002064205106 ,0
4002064205113 ,1
4002064205144 ,2
4002064205168 ,1
4002064400167 ,0
4002064400174 ,0
4002064400259 ,0
4002064400686 ,0
4002064400693 ,0
4002064400709 ,0
4002064400716 ,0
4002064400723 ,0
4002064400730 ,0
4002064400747 ,0
4002064401065 ,89
4002064401362 ,38
4002064401393 ,27
4002064401423 ,0
4002064401874 ,13
4002064401881 ,25
4002064402109 ,0
4002064406091 ,28
4002064406268 ,0
4002064406282 ,29
4002064406756 ,0
4002064406763 ,37
4002064406787 ,11
4002064407005 ,2
4002064407289 ,0
4002064407364 ,17
4002064407517 ,3
4002064408064 ,2
4002064408804 ,11
4002064409139 ,5
4002064409146 ,8
4002064409436 ,0
4002064412887 ,42
4002064412900 ,1
4002064412917 ,0
4002064412948 ,217
4002064412962 ,190
4002064412979 ,123
4002064413082 ,10
4002064413099 ,116
4002064413105 ,0
4002064413112 ,18
4002064413129 ,521
4002064413143 ,305
4002064413150 ,385
4002064413266 ,495
4002064413273 ,545
4002064414157 ,19
4002064414164 ,67
4002064414171 ,68
4002064414508 ,37
4002064414515 ,69
4002064414584 ,0
4002064417080 ,24
4002064417127 ,3
4002064417233 ,0
4002064417240 ,4
4002064417370 ,32
4002064417462 ,50
4002064417646 ,59
4002064418261 ,0
4002064418285 ,0
4002064418391 ,47
4002064418407 ,0
4002064418414 ,0
4002064418421 ,34
4002064418445 ,0
4002064418551 ,2
4002064418568 ,40
4002064418575 ,11
4002064418629 ,3
4002064418643 ,15
4002064418650 ,15
4002064418667 ,52
4002064418674 ,5
4002064418698 ,1
4002064418711 ,9
4002064418735 ,38
4002064418865 ,10
4002064418872 ,1
4002064420387 ,0
4002064420394 ,0
4002064420400 ,0
4002064420448 ,0
4002064420516 ,0
4002064420523 ,0
4002064420530 ,0
4002064420561 ,1
4002064420578 ,1
4002064420615 ,8
4002064421025 ,17
4002064421032 ,5
4002064421124 ,21
4002064421223 ,0
4002064430003 ,40
4002064430010 ,5
4002064430027 ,43
4002064430058 ,10
4002064430065 ,0
4002064430102 ,21
4002064430126 ,23
4002064500119 ,0
4002064500126 ,12
4002064500188 ,5
4002064501284 ,0
4002064501307 ,9
4002064501345 ,10
4002064504711 ,0
4002064504728 ,8
4002064504735 ,3
4002064504742 ,7
4002064504766 ,0
4002064504773 ,10
4002064504780 ,4
4002064504797 ,0
4002064504803 ,1
4002064504810 ,12
4002064504827 ,17
4002064504834 ,8
4002064504841 ,141
4002064504858 ,134
4002064505305 ,19
4002064512242 ,-7
4002064512259 ,0
4002064512266 ,12
4002064512280 ,0
4002064512297 ,7
4002064512303 ,0
4002064512310 ,0
4002064512327 ,0
4002064513003 ,159
4002064513041 ,164
4002064513065 ,98
4002064514468 ,0
4002064514482 ,1
4002064514604 ,49
4002064514611 ,23
4002064514628 ,32
4002064514635 ,31
4002064514734 ,17
4002064514741 ,28
4002064514802 ,20
4002064514819 ,26
4002064514826 ,44
4002064514833 ,19
4002064514840 ,23
4002064514857 ,27
4002064514864 ,23
